Variável;Conteúdo;;;;
ID_EMP;Identificador da empresa;;;;
ID_INST;Identificador da instalação;;;;
ID_MOV;Identificador do movimento;;;;
F_EMP;Primeiro registro da empresa;;;;
F_INST;Primeiro registro da instalação;;;;
OUTROVEIC_2004_A_2012_EMP;Número de outro tipo de veículo entre 2004 e 2012 da empresa;;;;
MOTOCICLETA_APOS_2012_EMP;Número de motocicleta após 2012 da empresa;;;;
UTILITARIO_APOS_2012_EMP;Número de utilitário após 2012 da empresa;;;;
VUC_APOS_2012_EMP;Número de VUC após 2012 da empresa;;;;
TOCO_APOS_2012_EMP;Número de toco após 2012 da empresa;;;;
TRUCK_APOS_2012_EMP;Número de truck após 2012 da empresa;;;;
CARRETA_APOS_2012_EMP;Número de carreta após 2012 da empresa;;;;
BITREM_APOS_2012_EMP;Número de bitrem após 2012 da empresa;;;;
TREMINHAO_APOS_2012_EMP;Número de treminhão após 2012 da empresa;;;;
OUTROVEIC_APOS_2012_EMP;Número de outro tipo de veículo após 2012 da empresa;;;;
POLITICA_ALTERACAO_ROTA_EMP;Nota de 0 a 10 sobre alteração de rota;;;;
POLITICA_CONSOLIDACAO_CARGA_EMP;Nota de 0 a 10 sobre consolidação de cargas;;;;
POLITICA_FRACIONAMENTO_CARGA_EMP;Nota de 0 a 10 sobre fracionamento de cargas entre vários veículos;;;;
POLITICA_ALTERACAO_VEICULO_EMP;Nota de 0 a 10 sobre alteração de tipo de veículo;;;;
POLITICA_ALTERACAO_HORARIO_EMP;Nota de 0 a 10 sobre alteração de horários de entrega;;;;
POLITICA_COMPRA_VEICULO_EMP;Nota de 0 a 10 sobre compra de veículos adicionais;;;;
POLITICA_CONTRATACAO_COLABORADORES_EMP;Nota de 0 a 10 sobre contratação de colaboradores;;;;
POLITICA_OUTRAS_MEDIDAS_EMP;Nota de 0 a 10 sobre outras medidas tomadas;;;;
TIPO_INST;Tipo da instalação;"1 - Fábrica; 2 - Armazém/Galpão; 3 - Centro de Distribuição; 4 - Loja; 5 - Outros";;;
ZONA_INST;Zona da instalação;Vide mapas;;;
INSTALACAO_CONJUNTA;Instalação compartilhada por mais de uma empresa;;;;
FAIXA_EMPREGADOS_INST;Faixa de empregados da instalação;;;;
AREA_CONSTRUIDA_INST;Área construída da instalação;;;;
ABRANGENCIA_MSP_INST;Abrangência da instalação Município de São Paulo;;;;
ABRANGENCIA_RMSP_INST;Abrangência da instalação Região Metropolitana de São Paulo;;;;
ABRANGENCIA_ESP_INST;Abrangência da instalação Estado de São Paulo;;;;
ABRANGENCIA_BRASIL_INST;Abrangência da instalação Brasil;;;;
ABRANGENCIA_FORABRASIL_INST;Abrangência da instalação fora do Brasil;;;;
PRINCIPAL_TIPO_TRANSPORTE_INST;Tipo de transporte característico da instalação;"1 - Transporte Próprio; 2 - Transporte Terceirizado; 3 - Ambas as Opções Anteriores";;;
DIFERENCIACAO_OPERACAO_INST;Diferenciação de operação da instalação;;;;
DIFERENCIACAO_EXP_INST;Especialização por área de expedição da instalação;;;;
DIFERENCIACAO_REC_INST;Especialização por área de recebimento da instalação;;;;
DIFERENCIACAO_PRODUTO_INST;Especialização por tipo de produto da instalação;;;;
UNIDADE_MOVIMENTO_INST;Unidade dos movimentos da instalação;"1 - Toneladas;  2 - Quilogramas; 3 - Metros cúbicos; 4 - TEUs (Twenty-foot equivalent unit); 5 - SKU (Stock Keeping unit); 6 - Outros; 7 - Litros; 8 - Palets";;;
EXP_NUMERO_DIA_INST;Número de expedições por dia da instalação;;;;
REC_NUMERO_DIA_INST;Número de recebimentos por dia da instalação;;;;
EXP_PERC_CENTRO_INST;Percentual de expedições para o Centro da instalação;;;;
EXP_PERC_OESTE_INST;Percentual de expedições para o Oeste da instalação;;;;
EXP_PERC_SUDESTE_INST;Percentual de expedições para o Sudeste da instalação;;;;
EXP_PERC_SUDOESTE_INST;Percentual de expedições para o Sudoeste da instalação;;;;
EXP_PERC_SUL_INST;Percentual de expedições para o Sul da instalação;;;;
EXP_PERC_NOROESTE_INST;Percentual de expedições para o Noroeste da instalação;;;;
EXP_PERC_NORTE_INST;Percentual de expedições para o Norte da instalação;;;;
EXP_PERC_NORDESTE_INST;Percentual de expedições para o Nordeste da instalação;;;;
EXP_PERC_LESTE_ARICANDUVA_INST;Percentual de expedições para o Leste Aricanduva da instalação;;;;
EXP_PERC_LESTE_ERMELINO_INST;Percentual de expedições para o Leste Ermelino da instalação;;;;
EXP_PERC_LESTE_ITAQUERA_INST;Percentual de expedições para o Leste Itaquera da instalação;;;;
EXP_PERC_RMSP_INST;Percentual de expedições para a RMSP da instalação;;;;
EXP_PERC_ESP_INST;Percentual de expedições para o Estado SP da instalação;;;;
EXP_PERC_BRASIL_INST;Percentual de expedições para o Brasil da instalação;;;;
EXP_PERC_FORABRASIL_INST;Percentual de expedições para o Fora do Brasil da instalação;;;;
REC_PERC_CENTRO_INST;Percentual de recebimentos do Centro da instalação;;;;
REC_PERC_OESTE_INST;Percentual de recebimentos do Oeste da instalação;;;;
REC_PERC_SUDESTE_INST;Percentual de recebimentos do Sudeste da instalação;;;;
REC_PERC_SUDOESTE_INST;Percentual de recebimentos do Sudoeste da instalação;;;;
REC_PERC_SUL_INST;Percentual de recebimentos do Sul da instalação;;;;
REC_PERC_NOROESTE_INST;Percentual de recebimentos do Noroeste da instalação;;;;
REC_PERC_NORTE_INST;Percentual de recebimentos do Norte da instalação;;;;
REC_PERC_NORDESTE_INST;Percentual de recebimentos do Nordeste da instalação;;;;
REC_PERC_LESTE_ARICANDUVA_INST;Percentual de recebimentos do Leste Aricanduva da instalação;;;;
REC_PERC_LESTE_ERMELINO_INST;Percentual de recebimentos do Leste Ermelino da instalação;;;;
REC_PERC_LESTE_ITAQUERA_INST;Percentual de recebimentos do Leste Itaquera da instalação;;;;
REC_PERC_RMSP_INST;Percentual de recebimentos da RMSP da instalação;;;;
REC_PERC_ESP_INST;Percentual de recebimentos do Estado SP da instalação;;;;
REC_PERC_BRASIL_INST;Percentual de recebimentos do Brasil da instalação;;;;
REC_PERC_FORABRASIL_INST;Percentual de recebimentos do Fora do Brasil da instalação;;;;
EXP_PERC_MOTOCICLETA_INST;Percentual de expedições por motocicleta da instalação;;;;
EXP_PERC_UTILITARIO_INST;Percentual de expedições por utilitário da instalação;;;;
EXP_PERC_VUC_INST;Percentual de expedições por VUC da instalação;;;;
EXP_PERC_TOCO_INST;Percentual de expedições por toco da instalação;;;;
EXP_PERC_TRUCK_INST;Percentual de expedições por truck da instalação;;;;
EXP_PERC_CARRETA_INST;Percentual de expedições por carreta da instalação;;;;
EXP_PERC_BITREM_INST;Percentual de expedições por bitrem da instalação;;;;
EXP_PERC_TREMINHAO_INST;Percentual de expedições por treminhão da instalação;;;;
EXP_PERC_OUTROVEIC_INST;Percentual de expedições por outro tipo de veículo da instalação;;;;
REC_PERC_MOTOCICLETA_INST;Percentual de recebimentos por motocicleta da instalação;;;;
REC_PERC_UTILITARIO_INST;Percentual de recebimentos por utilitário da instalação;;;;
REC_PERC_VUC_INST;Percentual de recebimentos por VUC da instalação;;;;
REC_PERC_TOCO_INST;Percentual de recebimentos por toco da instalação;;;;
REC_PERC_TRUCK_INST;Percentual de recebimentos por truck da instalação;;;;
REC_PERC_CARRETA_INST;Percentual de recebimentos por carreta da instalação;;;;
REC_PERC_BITREM_INST;Percentual de recebimentos por bitrem da instalação;;;;
REC_PERC_TREMINHAO_INST;Percentual de recebimentos por treminhão da instalação;;;;
REC_PERC_OUTROVEIC_INST;Percentual de recebimentos por outro tipo de veículo da instalação;;;;
TIPO_MOV;Expedição ou recebimento;;;;
CATEGORIA_PRODUTO_MOV;Categoria do produto da movimentação;"1 - Produtos Agrícolas; 2 -  Produtos Alimentares Processados ou Fabricados; 3 - Derivados de Petróleo; 4 - Produtos Químicos (não incluir produtos petrolíferos); 5 - Produtos de Borracha; 6 -  Artigos de Plástico; 7 - Produtos de Madeira e Madeira; 8 -  Peças de Vestuário; 9 - Têxteis e Artigos Têxteis; 10 - Metais Comuns e Artigos em Metais Comuns; 11 -  Veículos a Motor e Respectivo Equipamento de Transporte; 12 -  Máquinas e Equipamentos Elétricos;  13 - Instrumentos de Precisão; 14 -   Peças de Pedra/Gesso/Cimento/Cerâmica/Vidro/etc.; 15 -  Veículos de Serviço; 16 -  Não Existe; 17 -  Lixos e Resíduos; 18 -  Produtos Mistos; 19 -  Produtos em Papel e Material Impresso; 20 -  Não Existe; 21 - Outros Produtos de Consumo; 22 - Outros";;;
PESO_VOLUME_MOV;Peso ou volume da movimentação;;;;
UNIDADE_MOV;Unidade da movimentação;"1 - Toneladas;  2 - Quilogramas; 3 - Metros cúbicos; 4 - TEUs (Twenty-foot equivalent unit); 5 - SKU (Stock Keeping unit); 6 - Outros; 7 - Litros; 8 - Palets";;;
UNIDADE_CONVERSAO_MOV;Unidade de conversão da movimentação;;;;
VALOR_MOV;Valor em reais da movimentação;valores em reais - R$;;;
TIPO_VEIC_MOV;Tipo de veículo da movimentação;"1- Motocicleta; 2 - Utilitário; 3 - VUC; 4 - Toco; 5 - Truck; 6 - Carreta; 7 - Bitrem; 8 - Treminhão;";;;
FAIXA_HORARIA_MOV;Faixa horária da movimentação;"1 - 05:00 às 7:00; 2 - 7:00 às 10:00; 3 -10:00 às 14:00; 4 - 14:00 às 16:00 5 -16:00 às 19:00; 5 - 19:00 às 21:00; 7 -21:00 às  24:00; 8 - 24:00 às 05:00";;;
ZONA_MOV;Zona origem (recebimentos) ou destino (expedições);Vide mapas;;1;05:00 to 7:00
PROD_PERIGOSO;Produto perigoso na movimentação;Número ONU;;2;7:00 to 10:00
INFO_SIGILO;Prefiro não dar essa informação;;;3;10:00 to 14:00
QUANT_MOVIMENTO_DETALHADO_INST;Quantidade de movimentos detalhados da instalação;;;4;14:00 to 16:00
FE_EMP;Fator de expansão de empresa;;;5;16:00 to 19:00
FE_INST;Fator de expansão de instalação;;;6;19:00 to 21:00
FE_MOV;Fator de expansão de movimentação;;;7;21:00 to 24:00
EXP_EXPANDIDO_INST;Expedições totais por fator de instalação;;;8;24:00 to 05:00
REC_EXPANDIDO_INST;Recebimentos totais por fator de instalação;;;;
EXP_EXPANDIDO_EMP;Expedições totais por fator de empresa;;17;;
REC_EXPANDIDO_EMP;Recebimentos totais por fator de empresa;;18;;
MACROZONA_NOME_INST;Nome da macrozona da instalação;Vide mapas;19;;
MACROZONA_CODIGO_INST;Código da macrozona da instalação;Vide mapas;20;;
MACROZONA_NOME_MOV;Nome da macrozona da movimentação;Vide mapas;21;;
MACROZONA_CODIGO_MOV;Código da macrozona da movimentação;Vide mapas;22;;
QUANT_EXP_DETALHADO_EMP;Quantidade de expedições detalhadas da empresa;;;;
QUANT_REC_DETALHADO_EMP;Quantidade de recebimentos detalhados da empresa;;;;
